uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"2495aea9-8998-40fc-b415-1e777ed0b73c","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",2267,"2017-03-08T18:17:40Z",,7.90,28.11,7.46,,7.43,
"3adafdd5-0a7c-4d5d-b256-c48326ee4937","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",2317,"2017-03-08T18:26:00Z",,7.90,30.67,7.13,,7.07,
"d22674bf-5159-4220-861c-53978c312e2f","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",148,"2017-03-08T12:24:30Z",,293.90,21.41,315.54,,316.77,
"9e821bb0-16f8-4cbd-8ce2-2a3a7a81bc9c","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",1980,"2017-03-08T17:29:50Z",,7.90,25.93,7.76,,7.75,
"3f7e09e9-c0d9-4257-ba23-7577053d21f0","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",1946,"2017-03-08T17:24:10Z",,7.90,26.07,7.74,,7.73,
"a9e59731-fd4b-4ba6-8878-fa41e922751f","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",555,"2017-03-08T13:32:20Z",,295.00,21.59,315.55,,316.74,
"e02abfd4-2c28-4bea-85ba-16d265ad49da","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",2393,"2017-03-08T18:38:40Z",,7.90,29.28,7.30,,7.26,
"e18cb6aa-1f89-455e-bccd-32d9277839ac","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",758,"2017-03-08T14:06:10Z",,296.20,21.73,315.93,,317.07,
"cc5f4c86-58f8-4ced-b657-b8be570155e6","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",237,"2017-03-08T12:39:20Z",,294.30,21.45,315.71,,316.93,
"3105d610-275e-485c-b63b-1c83d242c6df","baac9d51-b814-4114-872e-f5a0f74a1e80","D04","CUPE","CUPE.AOS.reaeration.station.04","CUPE_S4_20170308","2017-03-08T11:50Z",2406,"2017-03-08T18:40:50Z",,7.90,28.94,7.35,,7.31,
