uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"32773627-59cb-4551-bfe4-dd558efb2645","D04","CUPE","CUPE.AOS.reaeration.station.01","2019-05-09T12:00Z","2019-05-09T14:28Z",2,"CUPE.02.20190509","CUPE.02.20190509.GAS","CUPE.02.20190509.TCR",,
"abb07563-6b49-477f-9a27-abf940140830","D04","CUPE","CUPE.AOS.reaeration.station.04","2019-05-09T12:00Z","2019-05-09T14:53Z",3,"CUPE.18.20190509","CUPE.18.20190509.GAS","CUPE.18.20190509.TCR",,
"a84c721c-f908-4229-9386-f3cc644f9a03","D04","CUPE","CUPE.AOS.reaeration.station.02","2019-05-09T12:00Z","2019-05-09T14:34Z",3,"CUPE.08.20190509","CUPE.08.20190509.GAS","CUPE.08.20190509.TCR",,
"daa1c292-e721-4775-92f3-993ca37ef54c","D04","CUPE","CUPE.AOS.reaeration.station.02","2019-05-09T12:00Z","2019-05-09T14:34Z",1,"CUPE.06.20190509","CUPE.06.20190509.GAS","CUPE.06.20190509.TCR",,
"136ff995-87d3-43d1-811f-85e9c2a270ad","D04","CUPE","CUPE.AOS.reaeration.station.04","2019-05-09T12:00Z","2019-05-09T14:53Z",5,"CUPE.20.20190509","CUPE.20.20190509.GAS","CUPE.20.20190509.TCR",,
"bfeaaf44-570c-4c92-b250-e0a3b2dec232","D04","CUPE","CUPE.AOS.reaeration.station.03","2019-05-09T12:00Z","2019-05-09T14:44Z",5,"CUPE.15.20190509","CUPE.15.20190509.GAS","CUPE.15.20190509.TCR",,
"03f45b12-c08c-4b64-bd7e-0906eb9700b2","D04","CUPE","CUPE.AOS.reaeration.station.03","2019-05-09T12:00Z","2019-05-09T14:44Z",2,"CUPE.12.20190509","CUPE.12.20190509.GAS","CUPE.12.20190509.TCR",,
"4edbbcfd-771d-41c9-ba55-ebe612583e0d","D04","CUPE","CUPE.AOS.reaeration.station.02","2019-05-09T12:00Z","2019-05-09T14:34Z",5,"CUPE.10.20190509","CUPE.10.20190509.GAS","CUPE.10.20190509.TCR",,
"577e08f1-97ac-4295-81ae-d6ffe353cb8d","D04","CUPE","CUPE.AOS.reaeration.station.01","2019-05-09T12:00Z","2019-05-09T14:28Z",5,"CUPE.05.20190509","CUPE.05.20190509.GAS","CUPE.05.20190509.TCR",,
"f9b865fb-92c0-484e-9cb6-db41d9716645","D04","CUPE","CUPE.AOS.reaeration.station.03","2019-05-09T12:00Z","2019-05-09T14:44Z",1,"CUPE.11.20190509","CUPE.11.20190509.GAS","CUPE.11.20190509.TCR",,
"a773b4c1-5987-4eac-99eb-dd767e5e5145","D04","CUPE","CUPE.AOS.reaeration.station.02","2019-05-09T12:00Z","2019-05-09T14:34Z",4,"CUPE.09.20190509","CUPE.09.20190509.GAS","CUPE.09.20190509.TCR",,
"b02a55bc-b475-4917-b810-5e8a76db62ce","D04","CUPE","CUPE.AOS.reaeration.station.04","2019-05-09T12:00Z","2019-05-09T14:53Z",2,"CUPE.17.20190509","CUPE.17.20190509.GAS","CUPE.17.20190509.TCR",,
"0fe0633e-ace3-4e0d-8936-c5c56a29a142","D04","CUPE","CUPE.AOS.reaeration.station.01","2019-05-09T12:00Z","2019-05-09T14:28Z",3,"CUPE.03.20190509","CUPE.03.20190509.GAS","CUPE.03.20190509.TCR",,
"57224457-2c09-48ee-aeb0-120b0693f3de","D04","CUPE","CUPE.AOS.reaeration.station.03","2019-05-09T12:00Z","2019-05-09T14:44Z",4,"CUPE.14.20190509","CUPE.14.20190509.GAS","CUPE.14.20190509.TCR",,
"59046db2-06e6-4c5a-b55a-36a311cac81f","D04","CUPE","CUPE.AOS.reaeration.station.04","2019-05-09T12:00Z","2019-05-09T14:53Z",4,"CUPE.19.20190509","CUPE.19.20190509.GAS","CUPE.19.20190509.TCR",,
"b07af60a-8e05-4d72-9366-6cd1c38aa30e","D04","CUPE","CUPE.AOS.reaeration.station.02","2019-05-09T12:00Z","2019-05-09T14:34Z",2,"CUPE.07.20190509","CUPE.07.20190509.GAS","CUPE.07.20190509.TCR",,
"8639e0eb-61de-4b47-bf68-1f5ae4331ef8","D04","CUPE","CUPE.AOS.reaeration.station.03","2019-05-09T12:00Z","2019-05-09T14:44Z",3,"CUPE.13.20190509","CUPE.13.20190509.GAS","CUPE.13.20190509.TCR",,
"ba5d9f58-5f4d-45e9-97e1-71dab7f4a7fa","D04","CUPE","CUPE.AOS.reaeration.station.01","2019-05-09T12:00Z","2019-05-09T14:28Z",1,"CUPE.01.20190509","CUPE.01.20190509.GAS","CUPE.01.20190509.TCR",,
"491ebfa8-0845-4395-ac77-78b4dca5970d","D04","CUPE","CUPE.AOS.reaeration.station.04","2019-05-09T12:00Z","2019-05-09T14:53Z",1,"CUPE.16.20190509","CUPE.16.20190509.GAS","CUPE.16.20190509.TCR",,
"7460ca93-e4e3-49ae-a4d9-1469f408f4cb","D04","CUPE","CUPE.AOS.reaeration.station.01","2019-05-09T12:00Z","2019-05-09T14:28Z",4,"CUPE.04.20190509","CUPE.04.20190509.GAS","CUPE.04.20190509.TCR",,
