uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"2aca8f97-c87b-41f0-a624-603f8bdeeb34","D04","CUPE","CUPE.AOS.reaeration.station.03","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.13.20210310.GAS","A00000192713",0.12723,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"8c744888-3ce3-424b-bffc-d76844e2d5e8","D04","CUPE","CUPE.AOS.reaeration.station.04","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.17.20210310.GAS","A00000192719",0.056244,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"6c194db2-c39d-44ff-bbc2-e8cc3456feb5","D04","CUPE","CUPE.AOS.reaeration.station.03","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.15.20210310.GAS","A00000192717",0.12839,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"8028891d-fbae-4684-8d53-a88e977d7371","D04","CUPE","CUPE.AOS.reaeration.station.04","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.16.20210310.GAS","A00000192718",0.055008,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"dc2d6e26-4751-454c-814f-a1292361ad60","D04","CUPE","CUPE.AOS.reaeration.station.04","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.19.20210310.GAS","A00000192721",0.054168,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"58e85450-9641-42c3-b134-0c38c0ac73e3","D04","CUPE","CUPE.AOS.reaeration.station.01","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.01.20210310.GAS","A00000192701",0.7573,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"0ae41c92-0653-4169-919e-7571deb4e599","D04","CUPE","CUPE.AOS.reaeration.station.01","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.03.20210310.GAS","A00000192703",0.85966,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"5b93727b-f7ad-4920-bf1c-d223a80f1dc6","D04","CUPE","CUPE.AOS.reaeration.station.01","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.02.20210310.GAS","A00000192702",0.88115,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"fc9df33c-f83f-49b0-bdda-7de72b2395d0","D04","CUPE","CUPE.AOS.reaeration.station.01","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.05.20210310.GAS","A00000192705",0.82895,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"9cff0e19-c910-4af5-9e2b-da64a51f4dcc","D04","CUPE","CUPE.AOS.reaeration.station.02","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.08.20210310.GAS","A00000192708",0.35229,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"d9f628c4-0105-4695-acb6-903a9ce9840f","D04","CUPE","CUPE.AOS.reaeration.station.02","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.06.20210310.GAS","A00000192706",0.36138,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"274cf09c-0fd7-4895-9d9e-dc4a43a3b344","D04","CUPE","CUPE.AOS.reaeration.station.02","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.09.20210310.GAS","A00000192709",0.35097,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"cdaac5c4-ef53-493e-9ca9-c30b888ce443","D04","CUPE","CUPE.AOS.reaeration.station.03","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.11.20210310.GAS","A00000192711",0.13037,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"09f378c1-3470-4ac4-b03e-21ec5c7c27b6","D04","CUPE","CUPE.AOS.reaeration.station.04","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.18.20210310.GAS","A00000192720",0.054218,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"9617fb8c-7939-4665-9692-bd32f17b66cc","D04","CUPE","CUPE.AOS.reaeration.station.02","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.07.20210310.GAS","A00000192707",0.35539,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
"e30c7180-fffa-4875-81b5-e9c97109a03a","D04","CUPE","CUPE.AOS.reaeration.station.03","2021-03-10T12:03Z","2021-04-12T17:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","CUPE.12.20210310.GAS","A00000192712",0.13367,0.011,1.080,2.000,"OK",,"JWT8xeltcdq2xvj/f1DCRw==",,1.00,-1
