uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"6595665a-3e65-42cd-941c-0b9c96104f5a","D04","GUIL","GUIL","2017-08-16T11:52Z",,16,3.80,
"f67572f5-0711-40dd-9b3f-021451bcbb46","D04","GUIL","GUIL","2017-08-16T11:52Z",,22,7.00,
"64184f44-2593-41fe-aa1e-5aba4a11e3dc","D04","GUIL","GUIL","2017-08-16T11:52Z",,6,5.40,
"892f9c78-53b6-4232-9e82-874871f7da03","D04","GUIL","GUIL","2017-08-16T11:52Z",,19,4.30,
"e22a4fe5-4db5-439b-a122-6fb375eac618","D04","GUIL","GUIL","2017-08-16T11:52Z",,10,8.60,
"896e2156-3cab-4d70-a53a-29ace8fba532","D04","GUIL","GUIL","2017-08-16T11:52Z",,29,5.40,
"ac36b058-63aa-4d1f-8ec5-6c21134bb406","D04","GUIL","GUIL","2017-08-16T11:52Z",,30,3.80,
"5165df91-c204-4752-95c2-328e4635bcfc","D04","GUIL","GUIL","2017-08-16T11:52Z",,11,8.90,
"97c8d13d-e97c-408d-b232-6fda65fd45e2","D04","GUIL","GUIL","2017-08-16T11:52Z",,18,4.10,
"a04c514f-8cc6-4064-8ea8-d29b0a6c329d","D04","GUIL","GUIL","2017-08-16T11:52Z",,17,6.30,
"66d9f608-f646-4911-af10-34f59dfdf703","D04","GUIL","GUIL","2017-08-16T11:52Z",,13,3.00,
"1c313512-26c8-4b26-8247-634eb6bda80f","D04","GUIL","GUIL","2017-08-16T11:52Z",,8,3.20,
"5b458d67-5d85-42a8-865b-9923edb94c9f","D04","GUIL","GUIL","2017-08-16T11:52Z",,28,4.90,
"0d7c9ef8-7ef7-4797-b7ff-2020fe750c50","D04","GUIL","GUIL","2017-08-16T11:52Z",,14,4.10,
"c21bf52b-031b-4cb7-a498-e474ba3d8583","D04","GUIL","GUIL","2017-08-16T11:52Z",,21,6.30,
"77877877-0d52-4532-9195-197bd9f1b0f8","D04","GUIL","GUIL","2017-08-16T11:52Z",,27,5.90,
"5f62f0ce-45be-4bd3-b6a1-86e7fd9cda14","D04","GUIL","GUIL","2017-08-16T11:52Z",,15,4.60,
"5b9e778b-256c-4d6e-8281-bd71823adfca","D04","GUIL","GUIL","2017-08-16T11:52Z",,7,3.90,
"b72902f6-87e0-41c0-b560-d1287f7fe00d","D04","GUIL","GUIL","2017-08-16T11:52Z",,20,2.60,
"dfc2d65d-51a9-4202-840d-2350b07df10f","D04","GUIL","GUIL","2017-08-16T11:52Z",,25,6.00,
"4f4a2734-b7fe-4b1c-ad17-4e6657cb6999","D04","GUIL","GUIL","2017-08-16T11:52Z",,24,6.30,
"24ec114c-d0ce-4cc5-bbc9-4b396a96ff79","D04","GUIL","GUIL","2017-08-16T11:52Z",,9,4.50,
"47f070f0-3838-4208-a52c-81c8c3f166b7","D04","GUIL","GUIL","2017-08-16T11:52Z",,23,5.00,
"d4184c42-2e43-4ee9-a939-05daee2065af","D04","GUIL","GUIL","2017-08-16T11:52Z",,12,3.70,
"b5ec4b00-bd00-4534-8e68-f27c5ddfb749","D04","GUIL","GUIL","2017-08-16T11:52Z",,26,6.00,
"1317e22a-129c-41a7-b471-8e9e2af10bca","D04","GUIL","GUIL","2017-08-16T11:52Z",,3,4.50,
"e3f61bb6-23dd-4117-9263-fe1c6e61686a","D04","GUIL","GUIL","2017-08-16T11:52Z",,2,4.10,
"dce453ab-1bd8-4c80-9a74-4e029a4864cb","D04","GUIL","GUIL","2017-08-16T11:52Z",,1,4.70,
"1b52079a-6904-46a9-9ed3-e1a4b70e6b67","D04","GUIL","GUIL","2017-08-16T11:52Z",,4,5.50,
"0d6bab76-2d98-4a66-b7b1-501c6fd32da5","D04","GUIL","GUIL","2017-08-16T11:52Z",,5,5.30,
