uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"5a7dc4f6-92d0-4c6a-ad47-405a1101221f","D04","GUIL","GUIL.AOS.reaeration.station.02","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.09.20171218.TCR",,"chloride",10.668,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"da877389-a44b-45e2-ae97-5e118c145110","D04","GUIL","GUIL.AOS.reaeration.station.01","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.04.20171218.TCR",,"chloride",10.889,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"15b6ec86-3199-4472-a1d3-8223f84cc208","D04","GUIL","GUIL.AOS.reaeration.station.04","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.17.20171218.TCR",,"chloride",10.396,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"d7be8f47-405a-4a65-91dc-989ad1d75656","D04","GUIL","GUIL.AOS.reaeration.station.01","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.05.20171218.TCR",,"chloride",10.442,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"8ff519f4-efe2-41d6-878b-a4fbc2eb90dc","D04","GUIL","GUIL.AOS.reaeration.station.03","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.15.20171218.TCR",,"chloride",10.698,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"d02d6108-f897-4064-bd56-358da7591da6","D04","GUIL","GUIL.AOS.reaeration.station.02","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.08.20171218.TCR",,"chloride",10.736,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"6fb58c07-0457-45ac-953d-a1224a914da1","D04","GUIL","GUIL.AOS.reaeration.station.03","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.12.20171218.TCR",,"chloride",10.692,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"da9be4a1-32c0-44b9-af1e-10eb8c7d28d8","D04","GUIL","GUIL.AOS.reaeration.station.01","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.B1.20171218.TCR",,"chloride",7.5962,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"9171a9c3-7609-44cf-b25f-6ccdacf15691","D04","GUIL","GUIL","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.00.20171218.TCR",,"chloride",173120.000,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"de14770f-d48d-4f3b-ad4e-eb9d2480f582","D04","GUIL","GUIL.AOS.reaeration.station.03","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.13.20171218.TCR",,"chloride",10.661,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"838e6ed5-427c-44e2-b1d8-b31fda5e3b31","D04","GUIL","GUIL.AOS.reaeration.station.02","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.B2.20171218.TCR",,"chloride",7.6025,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"4e8b039c-9cc3-4b8a-a2c7-d31847bd3d1f","D04","GUIL","GUIL.AOS.reaeration.station.04","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.16.20171218.TCR",,"chloride",10.441,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"1f474acc-e1bd-4573-8ee9-4b338056a6cf","D04","GUIL","GUIL.AOS.reaeration.station.02","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.07.20171218.TCR",,"chloride",10.705,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"49350009-a2ee-4847-b99c-7502f6af7b8c","D04","GUIL","GUIL.AOS.reaeration.station.04","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.20.20171218.TCR",,"chloride",10.490,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"a8098dfc-afaa-4be6-8af9-e494b86ff1c4","D04","GUIL","GUIL.AOS.reaeration.station.01","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.02.20171218.TCR",,"chloride",10.974,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"bd243524-c73d-4c24-91f9-55d1b4c64390","D04","GUIL","GUIL.AOS.reaeration.station.04","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.B4.20171218.TCR",,"chloride",7.7648,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"67ad02f6-84f5-47a0-8d47-bf821fa8f77a","D04","GUIL","GUIL.AOS.reaeration.station.02","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.06.20171218.TCR",,"chloride",11.485,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"18d64e70-8cb0-40e2-9182-d5e969092a6c","D04","GUIL","GUIL.AOS.reaeration.station.01","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.01.20171218.TCR",,"chloride",10.842,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"72e789cd-22dc-455b-b647-0e06f4714c3f","D04","GUIL","GUIL.AOS.reaeration.station.01","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.03.20171218.TCR",,"chloride",10.913,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"67e739a7-208f-47e7-aa04-3d8bf20b7d94","D04","GUIL","GUIL.AOS.reaeration.station.04","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.19.20171218.TCR",,"chloride",10.725,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"f87767f1-38f0-4b16-bcef-202e4fd0dc63","D04","GUIL","GUIL.AOS.reaeration.station.02","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.10.20171218.TCR",,"chloride",10.801,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"ede6346f-4e11-482b-bfeb-fd27851e36f1","D04","GUIL","GUIL.AOS.reaeration.station.03","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.B3.20171218.TCR",,"chloride",7.5991,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"694ec10e-1faa-4d76-b153-2f5d723c864e","D04","GUIL","GUIL.AOS.reaeration.station.03","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.11.20171218.TCR",,"chloride",10.687,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"cf68d505-8a9a-4e08-9a99-ef4282463a04","D04","GUIL","GUIL.AOS.reaeration.station.03","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.14.20171218.TCR",,"chloride",10.678,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"ed7e8dc2-bbb3-4aef-a29a-a8056b0357b9","D04","GUIL","GUIL.AOS.reaeration.station.04","2017-12-18T12:26Z","Loecke Lab at University of Kansas","GUIL.18.20171218.TCR",,"chloride",10.408,0,"2018-01-16T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
