uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"299d2fee-d6da-488d-9c5a-d35e1140c0bd","D04","GUIL","GUIL.AOS.reaeration.station.01","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.03.20180402.GAS",,0.40639,,,,"OK",,,,,-1
"4ca8047a-7edd-4515-a7d1-833056a68aad","D04","GUIL","GUIL.AOS.reaeration.station.01","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.01.20180402.GAS",,0.092723,,,,"OK",,,,,-1
"16a57883-9a49-44d4-9efd-05010ab3f0cf","D04","GUIL","GUIL.AOS.reaeration.station.04","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.18.20180402.GAS",,0.15706,,,,"OK",,,,,-1
"ab31d266-97f8-43a6-a18e-0cd78e06405b","D04","GUIL","GUIL.AOS.reaeration.station.02","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.06.20180402.GAS",,0.26975,,,,"OK",,,,,-1
"bc3292c5-e387-437e-8942-df2fc2cd518d","D04","GUIL","GUIL.AOS.reaeration.station.02","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.07.20180402.GAS",,0.25352,,,,"OK",,,,,-1
"153c5504-b526-47f9-85b8-66eb95e917d9","D04","GUIL","GUIL.AOS.reaeration.station.04","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.16.20180402.GAS",,0.16612,,,,"OK",,,,,-1
"46231d9f-fd5f-48bd-93d7-cdf878d23159","D04","GUIL","GUIL.AOS.reaeration.station.02","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.10.20180402.GAS",,0.26164,,,,"OK",,,,,-1
"1790aba5-d151-4032-b595-73666c8aa254","D04","GUIL","GUIL.AOS.reaeration.station.04","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.17.20180402.GAS",,0.16237,,,,"OK",,,,,-1
"ca06f92c-8649-458f-8bb6-878bc32951ba","D04","GUIL","GUIL.AOS.reaeration.station.03","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.15.20180402.GAS",,0.2035,,,,"OK",,,,,-1
"28758dcd-05ee-4291-8e05-4522a54ee476","D04","GUIL","GUIL.AOS.reaeration.station.03","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.13.20180402.GAS",,0.20129,,,,"OK",,,,,-1
"d7bc9c32-3d11-47b0-b3f5-dc9afb568ed9","D04","GUIL","GUIL.AOS.reaeration.station.04","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.20.20180402.GAS",,0.16504,,,,"OK",,,,,-1
"483a3138-1038-4059-9c41-939002463ab7","D04","GUIL","GUIL.AOS.reaeration.station.03","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.14.20180402.GAS",,0.20078,,,,"OK",,,,,-1
"debe7229-b836-4721-85d1-f62f088337c8","D04","GUIL","GUIL.AOS.reaeration.station.01","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.02.20180402.GAS",,0.10965,,,,"OK",,,,,-1
"89ec9461-d7f6-4379-868f-dda050cb350d","D04","GUIL","GUIL.AOS.reaeration.station.01","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.04.20180402.GAS",,0.40111,,,,"OK",,,,,-1
"86e3fb8a-4e49-44f7-968c-aceabc249546","D04","GUIL","GUIL.AOS.reaeration.station.01","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.05.20180402.GAS",,0.42358,,,,"OK",,,,,-1
"f3c509e9-ece2-4992-a12d-7695ade56ff8","D04","GUIL","GUIL.AOS.reaeration.station.03","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.11.20180402.GAS",,0.20509,,,,"OK",,,,,-1
"0950ca02-dd87-4017-b8e7-6875227dc12c","D04","GUIL","GUIL.AOS.reaeration.station.03","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.12.20180402.GAS",,0.20109,,,,"OK",,,,,-1
"313282a7-925d-4a90-8e03-5a6052d3ed93","D04","GUIL","GUIL.AOS.reaeration.station.02","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.09.20180402.GAS",,0.26177,,,,"OK",,,,,-1
"a0c47241-3e57-488c-ac4d-3eea58a2f166","D04","GUIL","GUIL.AOS.reaeration.station.04","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.19.20180402.GAS",,0.16293,,,,"OK",,,,,-1
"e3fff0c6-af42-4a17-b449-6254dab7ca2f","D04","GUIL","GUIL.AOS.reaeration.station.02","2018-04-02T12:00Z","2018-05-14T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","GUIL.08.20180402.GAS",,0.26585,,,,"OK",,,,,-1
