uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"faf584df-be7a-4123-95c5-1a58bef2f7ce","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1742,"2018-05-01T17:50:10Z",195.60,197.00,25.20,196.25,194.86,196.20,194.81
"5ca048a0-9b47-4eaa-9003-f2493d1a5938","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",2000,"2018-05-01T18:33:10Z",194.20,195.60,24.66,196.88,195.47,196.96,195.55
"071e3131-7f52-415a-8151-5594d47d6a1e","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1790,"2018-05-01T17:58:10Z",195.20,196.70,25.06,196.47,194.98,196.46,194.96
"ca32a7ed-1f68-4b68-b6a6-e468c32bafc0","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",2240,"2018-05-01T19:13:10Z",194.40,196.00,24.39,198.31,196.69,198.46,196.84
"9de62732-523d-4990-9593-8157cf6fe3e1","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",974,"2018-05-01T15:42:10Z",203.70,204.70,30.10,186.53,185.62,185.24,184.34
"6d5789bf-8bb1-4619-880f-4a8ea5caa610","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1593,"2018-05-01T17:25:20Z",196.60,198.10,25.72,195.41,193.93,195.24,193.76
"0325e10c-18e4-4e9d-ab00-f8ecdceb3331","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1218,"2018-05-01T16:22:50Z",217.20,218.60,31.41,194.76,193.51,193.04,191.80
"2ddc3d01-e22f-4bfb-9f02-64a23228eaf5","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",2181,"2018-05-01T19:03:20Z",194.70,196.00,24.55,197.70,196.39,197.81,196.49
"0d14177f-46a2-4d8e-893c-1184b33ee91b","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1376,"2018-05-01T16:49:10Z",204.20,205.90,28.23,193.94,192.33,193.12,191.52
"264460b3-cd10-4354-886f-a91dd1a4003f","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1867,"2018-05-01T18:11:00Z",194.30,195.90,24.81,196.61,195.01,196.66,195.05
"9c892fdb-8f7d-4472-a75d-c3c462e2aa48","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1778,"2018-05-01T17:56:10Z",195.40,196.70,25.10,196.33,195.03,196.30,195.00
"6441f9e9-5c01-4020-925c-d718679de831","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1145,"2018-05-01T16:10:40Z",219.20,220.10,31.94,194.34,193.54,192.47,191.68
"1edb24f1-cda7-42a6-9c36-9ff9f74dbcde","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1741,"2018-05-01T17:50:00Z",195.60,197.00,25.20,196.25,194.86,196.20,194.81
"9cc18d73-4731-497c-a2fe-1520a1e6097f","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1448,"2018-05-01T17:01:10Z",199.90,201.40,26.93,194.24,192.79,193.76,192.32
"1d4f40af-52a1-4f0e-bc48-23cb5b80e8a0","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1185,"2018-05-01T16:17:20Z",219.40,220.50,31.74,195.35,194.38,193.53,192.57
"39c2b5a8-39d4-42e7-9753-11c5c3b56a38","2d1f46ad-a706-4f14-92d7-ba4ff2a7a167","D04","GUIL","GUIL.AOS.reaeration.station.04","GUIL_S4_20180501","2018-05-01T12:25Z",1439,"2018-05-01T16:59:40Z",200.40,201.80,27.07,194.12,192.78,193.61,192.27
