uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"ea2090cd-fc5e-4180-bdc0-141ddb12bc2f","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1179,"2017-11-16T17:46:20Z",12.10,12.10,7.51,18.17,18.17,18.22,18.22
"6f24ca40-4c37-4458-86a6-31783778d70b","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",468,"2017-11-16T15:47:50Z",65.70,62.70,4.78,102.15,107.04,101.79,106.66
"b4eb587f-4c44-47fd-b907-15d138897563","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",469,"2017-11-16T15:48:00Z",65.60,62.70,4.78,102.15,106.88,101.79,106.50
"a6f7fb10-3465-43a0-9ca9-ba910ec71509","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",854,"2017-11-16T16:52:10Z",75.70,73.50,4.98,119.01,122.57,118.65,122.20
"d3d21302-177a-45d0-b0f0-00353171dddb","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",531,"2017-11-16T15:58:20Z",65.40,62.70,4.82,102.02,106.42,101.68,106.06
"97e380f3-adf1-4440-97aa-4baa2afcc483","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",352,"2017-11-16T15:28:30Z",2.80,7.10,13.55,9.09,3.58,9.16,3.61
"4c1a8f90-b355-42e6-b1a9-52476ba8fed2","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1279,"2017-11-16T18:03:00Z",12.30,12.10,7.64,18.10,18.40,18.15,18.45
"69cc0482-05b2-4f20-8d77-d400a459cd87","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",660,"2017-11-16T16:19:50Z",75.30,72.70,4.88,118.08,122.30,117.69,121.90
"7058bd3e-35fb-4d18-89a4-56c0af1296c8","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",179,"2017-11-16T14:59:40Z",2.60,7.10,15.51,8.67,3.18,8.74,3.20
"6182f408-d17d-4a80-9cdf-dfee9d0a0c94","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1465,"2017-11-16T18:34:00Z",12.30,12.10,7.45,18.20,18.50,18.24,18.55
"18ad6afa-61f7-45c2-98da-53a0e11b813e","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",783,"2017-11-16T16:40:20Z",75.40,73.10,4.94,118.50,122.23,118.14,121.86
"d5ce9821-26ed-47d1-9447-434503c07c11","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",1274,"2017-11-16T18:02:10Z",12.10,12.10,7.63,18.11,18.11,18.16,18.16
"69c0394f-b7c2-47f9-9226-202128676245","4eaa0c41-6750-42f8-bc85-62f8108dc897","D01","HOPB","HOPB.AOS.reaeration.station.04","HOPB_S4_20171116","2017-11-16T15:00Z",89,"2017-11-16T14:44:40Z",2.60,7.10,15.90,8.59,3.15,8.66,3.17
