uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"0d9a3962-5e25-4fd1-bd0e-98efbcc8ad65","D01","HOPB","HOPB","2018-04-23T15:45Z",,30,6.70,
"90412187-813f-4c78-86a2-f80e5338be1c","D01","HOPB","HOPB","2018-04-23T15:45Z",,20,6.70,
"6a52080f-eb3a-435b-86b1-debea28fa2c9","D01","HOPB","HOPB","2018-04-23T15:45Z",,17,5.30,
"971b4b63-fdfe-4871-9604-413dd7e06eec","D01","HOPB","HOPB","2018-04-23T15:45Z",,28,4.90,
"4bbdcc3f-9251-4328-baf6-1d325e7e77b8","D01","HOPB","HOPB","2018-04-23T15:45Z",,14,6.50,
"15623d2b-87b4-41f8-a421-ab2d4c8e418e","D01","HOPB","HOPB","2018-04-23T15:45Z",,29,4.50,
"b3794ec0-8569-405e-8e7c-98faba9fd9f3","D01","HOPB","HOPB","2018-04-23T15:45Z",,24,5.60,
"cca7780d-ef90-4642-9044-ccdeb83c2ede","D01","HOPB","HOPB","2018-04-23T15:45Z",,10,6.00,
"ebeac2db-1eed-4a29-91ef-0da7b7f4479d","D01","HOPB","HOPB","2018-04-23T15:45Z",,4,6.70,
"5dda9454-8f09-4e12-a600-7ab0a2bf6763","D01","HOPB","HOPB","2018-04-23T15:45Z",,21,5.30,
"d54bfd61-0179-442e-ae5d-a31dcf7f9ce1","D01","HOPB","HOPB","2018-04-23T15:45Z",,18,3.90,
"cc237b11-bebf-4f41-8ea3-c0c6dc257a07","D01","HOPB","HOPB","2018-04-23T15:45Z",,3,6.10,
"8092a02f-e52b-4cf0-99f4-2e124f507b50","D01","HOPB","HOPB","2018-04-23T15:45Z",,6,4.90,
"1e49ff60-dfc0-48b0-bf29-0351b54c3b45","D01","HOPB","HOPB","2018-04-23T15:45Z",,22,7.40,
"8c71d26d-8998-427a-aa60-74a08cae85d9","D01","HOPB","HOPB","2018-04-23T15:45Z",,5,5.50,
"57aebb62-8d76-459d-8ad4-a4d0e2fcac73","D01","HOPB","HOPB","2018-04-23T15:45Z",,25,6.40,
"7c813639-25d2-4f1a-9e9b-95905228783b","D01","HOPB","HOPB","2018-04-23T15:45Z",,19,5.40,
"0731db67-4bef-41e1-9617-1f02690e15e1","D01","HOPB","HOPB","2018-04-23T15:45Z",,7,5.30,
"fdf6174e-d7c7-442e-ace5-e044ecd6abfc","D01","HOPB","HOPB","2018-04-23T15:45Z",,15,5.70,
"1fdfae2c-1eb9-444a-992e-6c6c7de68a5a","D01","HOPB","HOPB","2018-04-23T15:45Z",,2,5.80,
"1659faf6-624d-4cd9-83d4-674e4d60169b","D01","HOPB","HOPB","2018-04-23T15:45Z",,8,5.20,
"f5da22c5-80d1-4340-be10-858ab7e85a2f","D01","HOPB","HOPB","2018-04-23T15:45Z",,13,6.10,
"57ab87e4-5cc1-470a-8db8-1c79568ad473","D01","HOPB","HOPB","2018-04-23T15:45Z",,11,4.50,
"a1b976b4-74b7-4e6e-b1cd-b5ff715580be","D01","HOPB","HOPB","2018-04-23T15:45Z",,26,8.00,
"ebff8cac-311d-47e3-b2e7-68216e4c5e49","D01","HOPB","HOPB","2018-04-23T15:45Z",,1,5.00,
"71327803-80cd-452a-a643-054a35c31466","D01","HOPB","HOPB","2018-04-23T15:45Z",,27,6.20,
"60bcccd5-9c71-4180-8bc2-ad85a5355464","D01","HOPB","HOPB","2018-04-23T15:45Z",,12,6.00,
"f292a0e3-164a-464c-b5f5-93b513fca056","D01","HOPB","HOPB","2018-04-23T15:45Z",,23,5.10,
"0d73620b-527d-4080-b180-9b8df4a90c00","D01","HOPB","HOPB","2018-04-23T15:45Z",,16,5.20,
"77eefa42-dab0-433e-bf3e-c8e7fbb47543","D01","HOPB","HOPB","2018-04-23T15:45Z",,9,6.20,
