uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"900670f7-eaf0-41f2-8ce0-49e07e9fe140","D01","HOPB","HOPB.AOS.reaeration.station.03","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.13.20181016.GAS","A00000032689",0.19816,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"be9195e6-7726-4a96-9c7a-b522aff22c48","D01","HOPB","HOPB.AOS.reaeration.station.04","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.17.20181016.GAS","A00000032660",0.1738,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"64aae6af-c2a2-43d5-841e-6ccd22b0550d","D01","HOPB","HOPB.AOS.reaeration.station.04","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.19.20181016.GAS","A00000032661",0.16527,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"e6117ccb-f64e-4fc7-be5f-fb2d1471fcdf","D01","HOPB","HOPB.AOS.reaeration.station.01","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.01.20181016.GAS","A00000032688",0.17354,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"58fea90e-b814-4020-b1d3-ffc769112459","D01","HOPB","HOPB.AOS.reaeration.station.03","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.12.20181016.GAS","A00000032687",0.19052,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"b1240097-9997-44f3-a5aa-2e3b8031c351","D01","HOPB","HOPB.AOS.reaeration.station.02","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.10.20181016.GAS","A00000032685",0.22913,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"a92854e3-4b75-43dc-91ec-74b6757be76d","D01","HOPB","HOPB.AOS.reaeration.station.01","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.03.20181016.GAS","A00000032678",0.18011,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"ba1ce46e-9fdc-449a-82d2-1ab34665b5c5","D01","HOPB","HOPB.AOS.reaeration.station.04","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.18.20181016.GAS","A00000032659",0.1623,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"2d2eb528-d8d7-41fe-b75a-a4dbb992915e","D01","HOPB","HOPB.AOS.reaeration.station.04","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.16.20181016.GAS","A00000032658",0.16656,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"5d7985ef-69fb-44ca-b881-10f15b172923","D01","HOPB","HOPB.AOS.reaeration.station.02","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.08.20181016.GAS","A00000032683",0.23098,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"d913b102-d29c-4f60-a2d7-a67a4273b4db","D01","HOPB","HOPB.AOS.reaeration.station.02","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.07.20181016.GAS","A00000032682",0.24182,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"c95a1e9a-e115-4dd2-b9dd-88833d80ba92","D01","HOPB","HOPB.AOS.reaeration.station.04","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.20.20181016.GAS","A00000032662",0.17199,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"47079cb9-cfc7-4b0d-b17c-bb8dfb4ed395","D01","HOPB","HOPB.AOS.reaeration.station.02","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.09.20181016.GAS","A00000032684",0.24325,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"e5a08d5b-6f63-4e5f-a9e9-ede33a9b4d3f","D01","HOPB","HOPB.AOS.reaeration.station.01","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.04.20181016.GAS","A00000032679",0.26072,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"172ec5b7-9ad8-4680-a054-e57c72468c23","D01","HOPB","HOPB.AOS.reaeration.station.01","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.05.20181016.GAS","A00000032680",0.23953,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"87fd1ec1-5af8-4ff1-9fa9-07ea00c85daa","D01","HOPB","HOPB.AOS.reaeration.station.03","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.11.20181016.GAS","A00000032686",0.17054,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"f2cb92b5-daef-4dfd-8a94-b8c5e91c4f0a","D01","HOPB","HOPB.AOS.reaeration.station.01","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.02.20181016.GAS","A00000032677",0.1619,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"76cfd88c-886b-4da1-b101-210b87fa9ec9","D01","HOPB","HOPB.AOS.reaeration.station.03","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.14.20181016.GAS","A00000032656",0.17448,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"fab96b39-7b03-40ce-a6c9-92190f9d12a7","D01","HOPB","HOPB.AOS.reaeration.station.02","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.06.20181016.GAS","A00000032681",0.2474,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
"6ec9aa00-68cd-4603-8a8a-1814da95fe05","D01","HOPB","HOPB.AOS.reaeration.station.03","2018-10-16T14:42Z","2019-01-24T12:00Z","Loecke Lab at University of Kansas","Sulfur Hexafluoride (SF6)","HOPB.15.20181016.GAS","A00000032657",0.17738,0.000041,0.786,2.000,"OK",,"CsTk6MsnqZVjNU51voiN6Q==",,0.30,-1
