uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"4f8545b0-d57f-4340-bc1a-7b1540b75c61","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",16,7.40,
"d5ab48a8-8321-4826-bea4-6c32bca4f204","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",9,7.50,
"34c79c92-53e1-4481-9b3c-6105b139bae9","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",14,6.60,
"6c6245cf-5837-40ab-adbe-cf1f06b1206c","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",27,5.00,
"089cf419-de20-4c5a-b3a2-34bddbf9f0bf","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",3,5.90,
"acf0af03-1dc2-45c7-9155-6a0c601a5e07","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",28,6.80,
"87ea408a-31fc-4313-8d4d-ce228a630df5","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",5,8.40,
"d9e94bc6-2614-4272-87e6-16fd18feb049","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",21,9.50,
"d5783f03-ede9-4714-beb7-44036ac97759","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",20,10.20,
"3e5c958c-240a-4750-98a3-7b1c9b394430","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",30,6.00,
"b41b99e7-4cdf-48b4-b1d1-f5698f07031f","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",19,7.70,
"d4858d39-e1b7-45e9-b7ef-16499bb6d971","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",6,4.10,
"530d87c0-cd14-45b7-a245-d3b8f5fa233f","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",10,4.60,
"e0f69c16-faca-49f3-ae66-9cd7b1232fff","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",29,4.40,
"de68ed23-2d67-4eff-9ad8-eb2e0c11bbca","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",12,9.60,
"2f37d3e6-5e13-4739-a58c-810f669d33a1","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",18,6.60,
"bc2d5d18-1378-4707-84b4-c318f8b8d1fd","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",25,8.10,
"53b4fcd9-b614-45a4-8673-b7cfffe063d5","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",22,14.30,
"d958d0e0-173b-4562-b362-def931c8b2ff","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",17,5.50,
"c8cf2b20-f294-45a9-965f-236010f049ce","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",4,7.00,
"af07ee33-cca9-4b8b-ab17-50ada6e7732a","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",26,5.20,
"aa5c614e-db2a-4c35-995c-1a2dacc07c1a","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",7,7.70,
"98b0278f-b860-4455-bc78-aa6beddde0a4","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",2,7.10,
"40cfba7c-11f3-4d36-8f9c-5a51d683d371","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",8,5.70,
"bc86da25-096a-4178-91fe-64b20c90182d","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",13,5.90,
"e06005dd-597e-4bd6-9b09-0c72796446ac","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",24,6.60,
"e0f244e3-2d51-4849-bc67-8623966209e6","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",15,8.00,
"d6bce28c-9fb5-4982-8359-adc6833e3a84","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",11,6.50,
"497da398-9371-4279-9576-2a749ba2c796","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",1,5.80,
"b703460c-5de4-4fff-95e1-036b92a3c1b0","D07","LECO","LECO","2018-12-18T16:11Z","Laser Rangefinder",23,11.90,
