uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"6156ba02-f4d2-4d4b-8cf4-e4e528eeded0","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",7,6.70,
"f76b8c85-b63e-488a-a479-6ad8f2c9e829","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",16,4.40,
"fe3b0cca-d214-4605-92bf-e76159b3cb2b","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",8,5.70,
"24c2b593-2f6e-4021-acb5-91754e7c80fe","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",23,5.50,
"c9b18388-a41c-4a1f-9013-ab1de5c8fba3","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",21,6.20,
"4825deb9-25e8-4eb2-b407-47a3c45869a7","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",20,6.30,
"074f2b14-f57b-421a-b347-17e5660b446c","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",15,3.80,
"7f440c86-3b5b-4050-811c-e3676e3ad867","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",14,5.10,
"b434e4bb-d1a3-42a1-a474-f17df0c2d6ef","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",2,6.50,
"9a4cce44-c575-4a7a-8659-50e1188cb832","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",17,4.00,
"d0c3828c-1e07-4550-91bb-82acc911fb48","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",19,7.10,
"588f0e50-2a06-42f0-988d-40ac69b21892","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",6,7.40,
"8ffdc5e8-8488-40a1-a760-904b4e4bc80f","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",3,4.50,
"1b9ae7cf-9d05-420d-92d5-751b13e35408","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",30,5.10,
"fd302824-3655-42c7-a528-bf97cf6f8a4d","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",1,5.10,
"8c951e6b-d3c2-4b53-a399-734f6afeec31","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",11,8.20,
"8a0a132a-7c3d-4375-812d-9a64d45366b6","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",9,7.70,
"20289c7b-007d-4a5c-aa4c-781ed1dab97b","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",28,3.80,
"565855ff-6516-4755-84d5-35fe3616fd10","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",13,5.40,
"266a47e1-a038-4f96-b79a-9b624fc0ecda","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",18,7.30,
"0b42f021-458f-433f-b95a-026cac70e020","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",25,5.70,
"5cb4a5cb-cea4-4598-901f-d721fbc0ca6e","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",27,4.00,
"98f55a3c-914f-4a9c-9e48-6493ec883f7e","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",22,7.00,
"994260d2-7956-43fd-8454-7722072c53fb","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",12,5.80,
"d96a7090-f96f-426f-8b03-b9e223d38c5c","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",29,4.60,
"b0f6c6c3-5cb6-45da-b5f3-6bba52bea72b","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",4,7.30,
"bc0831af-1014-4343-8ef8-3c172b203a11","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",26,5.10,
"41d69247-3342-4b02-890f-098d423472f4","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",5,10.60,
"6748f78e-405e-4102-a978-3d2d51791ac5","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",24,7.00,
"67a88923-74d1-4384-ab6f-f866f38e803c","D06","MCDI","MCDI","2019-06-10T16:01Z","Laser Rangefinder",10,7.80,
