uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"53d2d968-3c43-4e75-bf47-6048acb3faa6","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",29,5.00,
"a301413e-630f-4ccc-b93d-6779f11779f4","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",23,5.50,
"f5993196-9894-4d7e-873a-dbd9693056a2","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",30,6.30,
"03f4c394-73ab-48a4-8a7d-81e87827eb50","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",6,14.50,
"7af73d5d-ac5a-4f56-b2e2-62515ff2777f","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",17,7.80,
"4f377c14-f13f-4a22-bdd7-33266bad3345","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",24,5.50,
"447764bc-5f1c-49da-b38e-f35fc2e78aaa","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",19,5.50,
"eb377b10-5bdd-48fd-8456-32b52fc96ca3","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",8,7.90,
"134b6028-d23a-46bb-b74e-23689c3c63fb","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",4,10.20,
"bdf3cfc4-e535-4c04-8c63-215e207e12e8","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",18,8.10,
"c39bf94f-1732-4578-a289-dc9bcb2a23c9","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",11,4.50,
"2a3939c2-0551-485f-add5-bca90bd0ca5b","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",14,6.90,
"860b8040-af90-4de7-8e25-374be7cfeecf","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",26,12.30,
"0e84edbd-1596-4f4a-a45f-ad2512748b90","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",5,8.50,
"309af1f4-65f8-4cf3-a782-62c4df2456c3","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",27,6.90,
"8ec1ae96-e43d-4e55-958b-7790d0ea2498","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",22,8.40,
"1ff2d243-95df-4ea0-abc2-58e366fcd74f","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",21,5.70,
"35d39fc0-cb07-4960-b7b2-2bf637ade3a3","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",1,5.30,
"aa14e437-a30e-49e5-a093-57096610d2f2","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",15,7.30,
"1de176e6-42dd-4496-9ad9-218e451c296e","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",13,6.00,
"bcb7edc0-67ee-4af3-b031-9bfa4fcf0eac","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",9,4.10,
"d2d3f3ec-4d1c-49b4-8558-7ed3c6d0cc63","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",10,4.40,
"9e804d0a-b24b-450b-abb2-b1a6c052cbf7","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",16,8.00,
"8b0315e3-f8a8-4e3c-b2ff-afd842e5248f","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",12,7.00,
"2518d654-b0cd-43e1-9db7-59bbb7b5ec28","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",7,12.00,
"b682fbd4-5603-4692-bb0d-c2dc270093b7","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",28,6.10,
"398d0886-182c-4f44-8753-7c2d3929d806","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",20,5.00,
"fec97ed0-7e4f-486e-b8d3-2a18e1ecfd11","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",25,13.00,
"c9b16846-b7fc-4a52-bf26-9e44f925635f","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",2,8.20,
"59dbad3a-654c-42f2-99c1-a436cbaf59fa","D16","MCRA","MCRA","2021-04-01T17:01Z","Laser Rangefinder",3,8.50,
