uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"74c9528e-8812-47c4-a2e1-e397290ddbc3","D02","POSE","POSE","2021-06-14T12:10Z","Tape",16,10.14,
"fcf366fe-411c-4014-988d-18c52f3dc058","D02","POSE","POSE","2021-06-14T12:10Z","Tape",29,1.84,
"ade778ad-62e7-4d6e-be62-c168f2232002","D02","POSE","POSE","2021-06-14T12:10Z","Tape",5,8.00,
"6b8a5e74-28fe-40b2-9a47-f9e13c6e777e","D02","POSE","POSE","2021-06-14T12:10Z","Tape",26,4.57,
"2d1db941-0224-4fbb-b46d-0246c1e123f9","D02","POSE","POSE","2021-06-14T12:10Z","Tape",22,10.91,
"33f6f92e-a730-4b43-8d37-c1eb2386752d","D02","POSE","POSE","2021-06-14T12:10Z","Tape",14,5.11,
"c037cb6f-d487-46eb-81f3-46219882c1d8","D02","POSE","POSE","2021-06-14T12:10Z","Tape",10,2.27,
"cc2841ce-08ad-4721-acfa-e578607c35a3","D02","POSE","POSE","2021-06-14T12:10Z","Tape",6,3.08,
"39f42cfb-d1c5-42e0-abfc-b8a6ec71b348","D02","POSE","POSE","2021-06-14T12:10Z","Tape",17,10.89,
"27ec6f51-6f47-4f18-8a0d-72fd8de77dec","D02","POSE","POSE","2021-06-14T12:10Z","Tape",9,2.99,
"992ea81d-7b68-47a3-adf1-7427ab206e0f","D02","POSE","POSE","2021-06-14T12:10Z","Tape",21,8.52,
"117a62a9-fd33-4ea4-8832-c6f4516dfa05","D02","POSE","POSE","2021-06-14T12:10Z","Tape",25,6.80,
"cea3f00b-43b1-45db-9305-2ca6b89e2c1c","D02","POSE","POSE","2021-06-14T12:10Z","Tape",11,1.47,
"2b632302-6725-4f92-90fe-eadb8558963e","D02","POSE","POSE","2021-06-14T12:10Z","Tape",15,10.88,
"60fffaa2-aad5-4a78-891f-f0eec5aa4327","D02","POSE","POSE","2021-06-14T12:10Z","Tape",12,2.58,
"e5a21822-9bfc-4192-9d7f-170127516fed","D02","POSE","POSE","2021-06-14T12:10Z","Tape",3,2.88,
"13d61c6d-e463-4571-89f8-f653ecd6f0ea","D02","POSE","POSE","2021-06-14T12:10Z","Tape",13,3.50,
"2abb1069-65ec-4ae1-b8bf-a8b2407ab960","D02","POSE","POSE","2021-06-14T12:10Z","Tape",28,2.36,
"16629fe4-685e-4861-b43e-71a92f789702","D02","POSE","POSE","2021-06-14T12:10Z","Tape",2,2.50,
"eed2354c-1198-4cab-8b49-1df546edd75f","D02","POSE","POSE","2021-06-14T12:10Z","Tape",8,2.90,
"1f898437-93d6-432f-995f-cab991cac5ba","D02","POSE","POSE","2021-06-14T12:10Z","Tape",1,2.03,
"073b933e-0bee-412f-ac64-653afa65a68d","D02","POSE","POSE","2021-06-14T12:10Z","Tape",7,4.07,
"ff8fdb70-bfac-4af2-aa8a-5d2cd32dfa11","D02","POSE","POSE","2021-06-14T12:10Z","Tape",4,5.65,
"93791063-f6cc-4a93-983f-5ba0e0d3ef5c","D02","POSE","POSE","2021-06-14T12:10Z","Tape",24,6.18,
"0172697c-c8d0-44ed-9ea4-1df401ceb764","D02","POSE","POSE","2021-06-14T12:10Z","Tape",30,2.05,
"ca86c4b7-fdcb-4ef6-8ae1-703a8e5fe5b0","D02","POSE","POSE","2021-06-14T12:10Z","Tape",23,9.00,
"f3c86518-15b3-495d-9a9c-4bc1f97895a9","D02","POSE","POSE","2021-06-14T12:10Z","Tape",19,8.85,
"f227ca1f-a362-4f30-93a5-b07ebe40579a","D02","POSE","POSE","2021-06-14T12:10Z","Tape",20,6.88,
"e05fd802-66ae-417a-8e05-35961cec4898","D02","POSE","POSE","2021-06-14T12:10Z","Tape",27,2.52,
"f35bb7ba-c6b2-4544-b560-2fc017440e74","D02","POSE","POSE","2021-06-14T12:10Z","Tape",18,8.80,
