uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"1e9c7029-a1a8-43a9-b763-e1ffb6a6762f","D11","PRIN","PRIN","2016-08-07T12:00Z",,23,7.00,
"ce6a7fc7-bb77-46e6-850b-1bc02be03236","D11","PRIN","PRIN","2016-08-07T12:00Z",,19,6.60,
"3d2c5692-c2c5-4103-ba35-345fa0e880d5","D11","PRIN","PRIN","2016-08-07T12:00Z",,28,6.40,
"cc59b509-3e89-47dc-a80f-c99652a6fb23","D11","PRIN","PRIN","2016-08-07T12:00Z",,29,7.60,
"2ddab95d-650f-4568-9fea-5ee2df06d61e","D11","PRIN","PRIN","2016-08-07T12:00Z",,30,7.60,
"c02ee6cb-2b00-4352-989c-070182c353e8","D11","PRIN","PRIN","2016-08-07T12:00Z",,22,6.50,
"2db9b1c9-af82-428a-8e9e-bfa99411f5ab","D11","PRIN","PRIN","2016-08-07T12:00Z",,21,7.10,
"94d1cdb9-76ab-44d9-96c4-3198a3dc6640","D11","PRIN","PRIN","2016-08-07T12:00Z",,24,8.00,
"d921e910-5915-4960-84a9-876d8c95ab62","D11","PRIN","PRIN","2016-08-07T12:00Z",,26,5.70,
"3c81b732-5a69-4507-b549-618410e57cf3","D11","PRIN","PRIN","2016-08-07T12:00Z",,27,5.70,
"1ee89012-6215-41f7-9ce7-29520c9a15a2","D11","PRIN","PRIN","2016-08-07T12:00Z",,25,7.60,
"9a6f09c8-6fc8-444b-bc5a-8d18936ba298","D11","PRIN","PRIN","2016-08-07T12:00Z",,20,5.70,
"817d5313-60e5-4710-9af5-e46d2377bdeb","D11","PRIN","PRIN","2016-08-07T12:00Z",,9,1.70,
"0228983d-2c14-46c9-b21d-0fcdee0e6e5a","D11","PRIN","PRIN","2016-08-07T12:00Z",,16,7.40,
"cd92b2da-49b3-491e-9b6e-e686f5f22ded","D11","PRIN","PRIN","2016-08-07T12:00Z",,13,6.10,
"6f468beb-fa71-471e-903f-e05e51ed4d86","D11","PRIN","PRIN","2016-08-07T12:00Z",,2,1.30,
"f46abe39-9bee-450f-b816-6bfc1d4d407c","D11","PRIN","PRIN","2016-08-07T12:00Z",,18,5.20,
"74981b83-63a7-45b8-9197-bf9a1d8c63bf","D11","PRIN","PRIN","2016-08-07T12:00Z",,4,1.40,
"7d8d8300-17f2-4a0c-842a-8d25ed404d64","D11","PRIN","PRIN","2016-08-07T12:00Z",,10,3.20,
"776d7de7-6377-4854-a97a-2b0b652a11eb","D11","PRIN","PRIN","2016-08-07T12:00Z",,12,5.90,
"8100650e-e709-4d50-a3c8-c764d4796570","D11","PRIN","PRIN","2016-08-07T12:00Z",,3,3.90,
"af3e8705-63cc-4a31-aefb-6b6e81a9ed44","D11","PRIN","PRIN","2016-08-07T12:00Z",,14,6.50,
"c87dfdcd-f2a6-4d14-bfc9-eca632b8449e","D11","PRIN","PRIN","2016-08-07T12:00Z",,6,2.00,
"abba98b7-b7e1-4c9f-85da-c43bf04a194f","D11","PRIN","PRIN","2016-08-07T12:00Z",,15,2.80,
"e126230d-3b38-4c1a-90e3-134ca1c6734f","D11","PRIN","PRIN","2016-08-07T12:00Z",,7,3.30,
"e6717ce6-cb31-44f2-9a7b-0b74f3d10c4c","D11","PRIN","PRIN","2016-08-07T12:00Z",,17,5.40,
"17bc7d96-7ed5-4e7d-b1b6-486fc40c5980","D11","PRIN","PRIN","2016-08-07T12:00Z",,8,1.90,
"dcf5675c-1a81-4cd1-bc43-6c52f9e2da20","D11","PRIN","PRIN","2016-08-07T12:00Z",,11,2.50,
"23f8ca37-0d0b-4e67-ba89-33d8ff3a7034","D11","PRIN","PRIN","2016-08-07T12:00Z",,1,4.30,
"5efe2da2-18ac-4678-95be-a213e5c7bba7","D11","PRIN","PRIN","2016-08-07T12:00Z",,5,1.30,
