uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"d2f8781a-6347-41c3-b2f6-97120567a80d","D14","SYCA","SYCA","2017-05-12T08:55Z",,28,2.75,
"1b57cd20-80f4-4735-a6f1-481ca5354284","D14","SYCA","SYCA","2017-05-12T08:55Z",,8,2.70,
"f53e1010-b2c4-4d0a-918c-8a2d1fa3a0ea","D14","SYCA","SYCA","2017-05-12T08:55Z",,19,2.05,
"fca2ea1b-406b-4a5f-b4e2-8e979c63c431","D14","SYCA","SYCA","2017-05-12T08:55Z",,24,4.70,
"0e3abb67-7ec6-4cec-932d-51e7d203d5cf","D14","SYCA","SYCA","2017-05-12T08:55Z",,14,4.30,
"4a292571-08b7-478d-90bb-ca3c060d7a8f","D14","SYCA","SYCA","2017-05-12T08:55Z",,27,2.45,
"68038f7b-8b90-49b1-ba68-edd37548aa18","D14","SYCA","SYCA","2017-05-12T08:55Z",,12,2.45,
"6f14e43e-2498-4d15-97a2-c6b4eb8bc364","D14","SYCA","SYCA","2017-05-12T08:55Z",,20,3.45,
"f52b16ff-4129-453b-aa75-72a11a24db03","D14","SYCA","SYCA","2017-05-12T08:55Z",,17,1.45,
"3bce7d4d-0821-4b89-8710-285d5fb71677","D14","SYCA","SYCA","2017-05-12T08:55Z",,21,3.80,
"5581dbef-3117-4b9e-b45e-0b3eb1425739","D14","SYCA","SYCA","2017-05-12T08:55Z",,25,3.70,
"e66a08da-0dee-4fef-b6a4-c5f530f17174","D14","SYCA","SYCA","2017-05-12T08:55Z",,7,3.85,
"6fc12ab8-7a84-441e-b616-708ac33f36d2","D14","SYCA","SYCA","2017-05-12T08:55Z",,10,4.95,
"f6d162d4-7c37-478b-8075-52c501e7648b","D14","SYCA","SYCA","2017-05-12T08:55Z",,18,1.80,
"d731e57c-353b-4ee2-a67d-382a3c3b3290","D14","SYCA","SYCA","2017-05-12T08:55Z",,26,3.00,
"9265466c-4c27-4ef3-b5a0-88613db1707f","D14","SYCA","SYCA","2017-05-12T08:55Z",,29,2.30,
"e2262014-b677-4c90-b4c0-c12d9f34bea6","D14","SYCA","SYCA","2017-05-12T08:55Z",,5,1.40,
"5af30c7f-25cc-429e-9d1c-b9ce316e6cd8","D14","SYCA","SYCA","2017-05-12T08:55Z",,30,3.00,
"04af6ca9-6826-4bc9-b9bf-70552796a13a","D14","SYCA","SYCA","2017-05-12T08:55Z",,6,3.75,
"201c538f-a099-4fbf-b4b4-375287bcbef3","D14","SYCA","SYCA","2017-05-12T08:55Z",,11,2.75,
"93169abb-08d5-4872-b743-15b1650d93c6","D14","SYCA","SYCA","2017-05-12T08:55Z",,13,3.60,
"faea7c37-8d34-4903-8283-1d97db747bae","D14","SYCA","SYCA","2017-05-12T08:55Z",,22,4.00,
"12775c6a-dc53-43bb-9982-3e04f0418ee5","D14","SYCA","SYCA","2017-05-12T08:55Z",,15,2.35,
"8d5eb7e6-1fcb-455c-8413-ca90c698504b","D14","SYCA","SYCA","2017-05-12T08:55Z",,16,3.85,
"0128456c-04ea-4e29-be04-c1179428bd28","D14","SYCA","SYCA","2017-05-12T08:55Z",,9,2.75,
"2ac7d41b-cc5c-48b2-b6e1-376422c46739","D14","SYCA","SYCA","2017-05-12T08:55Z",,23,4.15,
"0526677d-2223-4a4a-996f-29f713c78c98","D14","SYCA","SYCA","2017-05-12T08:55Z",,1,1.65,
"91252074-1317-4ef1-bb64-c5b89f8b674b","D14","SYCA","SYCA","2017-05-12T08:55Z",,4,2.45,
"c8f62d62-a842-4849-be14-4e54f92c7718","D14","SYCA","SYCA","2017-05-12T08:55Z",,2,2.80,
"329a54d7-6cf4-4c03-baf1-35d0fe31c1c4","D14","SYCA","SYCA","2017-05-12T08:55Z",,3,1.95,
