uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"e0147c64-7dd6-4fe9-937e-963ae8ba5cec","D17","TECR","TECR","2021-06-14T19:22Z","Tape",6,1.15,
"a77e5bea-04a5-46d3-bdb2-9a014b032ea8","D17","TECR","TECR","2021-06-14T19:22Z","Tape",9,2.00,
"ed03e8ea-73b5-4960-812e-c058c1d01aa8","D17","TECR","TECR","2021-06-14T19:22Z","Tape",19,1.50,
"7abe18ce-d5be-4350-888a-186d2314802e","D17","TECR","TECR","2021-06-14T19:22Z","Tape",14,1.60,
"087074db-ac32-4afe-8124-935b11ff1a2e","D17","TECR","TECR","2021-06-14T19:22Z","Tape",1,1.91,
"0769a8cc-f7e3-4989-aa35-784084b5eae5","D17","TECR","TECR","2021-06-14T19:22Z","Tape",30,3.43,
"b8c535da-2123-4fe7-9e78-8a6fa484c9dc","D17","TECR","TECR","2021-06-14T19:22Z","Tape",29,0.92,
"5fa02d75-6687-40eb-a4ee-cfc09db561f2","D17","TECR","TECR","2021-06-14T19:22Z","Tape",8,0.76,
"1e86f494-f38e-4e35-942e-fe76104e51ca","D17","TECR","TECR","2021-06-14T19:22Z","Tape",24,2.39,
"0bf85744-5be3-4058-a70b-5a5b929ab448","D17","TECR","TECR","2021-06-14T19:22Z","Tape",13,1.37,
"286cdb9a-15ee-4016-a5f0-6df37fb73fb7","D17","TECR","TECR","2021-06-14T19:22Z","Tape",7,1.80,
"def8aea2-a553-4881-a98e-60dd929d9e27","D17","TECR","TECR","2021-06-14T19:22Z","Tape",18,1.52,
"7b247c29-e873-42ae-a0b5-14c777fcccac","D17","TECR","TECR","2021-06-14T19:22Z","Tape",12,1.05,
"a534dc81-0960-48b3-99a9-1a1d921088af","D17","TECR","TECR","2021-06-14T19:22Z","Tape",23,1.43,
"846821e4-4f5c-47e9-9d28-c8c292487a63","D17","TECR","TECR","2021-06-14T19:22Z","Tape",25,2.46,
"f0046ab1-7ea6-474d-b479-61bfa3e72ca4","D17","TECR","TECR","2021-06-14T19:22Z","Tape",2,2.10,
"d87c30b5-a746-430e-9e94-229e9b45f1fb","D17","TECR","TECR","2021-06-14T19:22Z","Tape",27,1.50,
"625e49ee-5b06-4264-9cbd-f6530c9124d9","D17","TECR","TECR","2021-06-14T19:22Z","Tape",20,2.19,
"113a6925-28c7-48e8-b7a6-1f575d520849","D17","TECR","TECR","2021-06-14T19:22Z","Tape",10,4.90,
"9216fa8a-9a2e-4f07-baa7-cfd504b627c8","D17","TECR","TECR","2021-06-14T19:22Z","Tape",11,1.81,
"579f0d91-463f-4120-acf4-7c73a1f307c5","D17","TECR","TECR","2021-06-14T19:22Z","Tape",5,2.00,
"874a0d7b-f79f-49ce-b9b8-4eef25281383","D17","TECR","TECR","2021-06-14T19:22Z","Tape",21,1.35,
"bb0a1037-5096-4db2-a664-e51127bda0ba","D17","TECR","TECR","2021-06-14T19:22Z","Tape",17,1.54,
"c3096fe0-02af-4f1f-bec0-208d7c13fd21","D17","TECR","TECR","2021-06-14T19:22Z","Tape",4,1.50,
"e772e4cf-b96e-44ef-82c9-e604447b8cf3","D17","TECR","TECR","2021-06-14T19:22Z","Tape",22,1.50,
"1d0c93c9-3150-4f70-b429-4db1783b564a","D17","TECR","TECR","2021-06-14T19:22Z","Tape",28,0.97,
"5a4dce1f-eba4-42b7-95a0-a270b29a8250","D17","TECR","TECR","2021-06-14T19:22Z","Tape",16,2.20,
"26c496c0-fea9-4de2-974b-d5ef8680d77d","D17","TECR","TECR","2021-06-14T19:22Z","Tape",26,1.30,
"3775c85f-dd82-49e6-8979-59af2a929601","D17","TECR","TECR","2021-06-14T19:22Z","Tape",15,1.85,
"2c4235d8-a3e0-4579-b7a4-a9a3ca126e00","D17","TECR","TECR","2021-06-14T19:22Z","Tape",3,2.80,
