uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"28a8b5ef-3f1d-4f01-82d8-d5384366929f","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",18,2.70,
"00141ccb-31ac-4383-8784-2ddc5dbe83a2","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",22,4.00,
"9783fe6b-30dd-43f5-9e55-7a4ddc9d2c43","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",28,3.40,
"0ceeab85-3a42-4deb-a45c-9fc8016232dd","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",12,1.70,
"c2c72b8e-3a66-44dc-bf3c-9aefc3d49962","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",19,3.10,
"61f325b4-5f83-4f7b-8087-b4ce8c6c5c5b","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",25,3.60,
"6b0d2617-1fa2-49a1-b879-1e89acfff173","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",24,4.30,
"4f752a34-aa3b-4cdb-857e-092de3e74495","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",4,3.60,
"3885c38f-8bf6-4be4-b88d-a285ecade2d3","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",30,2.20,
"c932cd20-4668-4374-9df7-0e86d30f1190","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",21,2.70,
"5aaaff02-7658-42f5-b209-bf357c3ded74","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",11,3.10,
"19357274-3dbb-473b-96c5-d23ebca31aa2","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",2,3.40,
"c8bd0bd4-2d1d-43cb-a1b9-6e907a3b3e85","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",23,3.20,
"891b36d9-2db9-4965-b80d-71ad9a4e8a77","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",3,4.00,
"ec3fb225-17ca-4c21-ba59-e73ff05c8041","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",1,2.90,
"7a466619-ddf7-43f9-a609-53c472cf0401","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",29,3.30,
"b2ce053f-e5f0-49c3-ba63-821fd8546d33","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",27,3.50,
"40b8d36c-00a2-4aa8-ae72-8c07a0677bbc","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",13,3.20,
"c179d8f1-9630-4972-a978-1fbfd9792f5f","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",16,2.20,
"ba422e05-a2df-48aa-a279-7b0f7eb84442","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",9,4.80,
"32199234-b618-448a-930a-7524cc9b86e7","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",20,3.00,
"eed4f848-e576-4012-84cc-6155684ffceb","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",5,4.60,
"ac57dd0e-491e-4f1c-a276-9137106ce912","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",17,1.30,
"9c4273ee-b1a5-472c-896e-489beb788575","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",10,3.20,
"1563019d-b6da-4bfc-954f-78620d68c77d","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",14,2.50,
"5ae7f1c9-8ee4-483d-9965-972866c5b629","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",8,3.00,
"0a7d2695-6c08-4693-9a95-5dd5733cb27e","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",15,2.80,
"f6972af8-7fa9-4eb9-b781-3c263deba292","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",26,3.70,
"45a09dc5-e1fd-4edb-b480-691901dd10c2","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",7,4.40,
"25fa4b6a-d7c9-4047-87f7-9b7ab38bb6d8","D07","WALK","WALK","2019-11-21T13:50Z","Laser Rangefinder",6,3.10,
