uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"19b1be82-2a7d-420f-8d1d-2eeaf007c898","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",4,1.82,
"6e3bfafa-16f0-4cf0-873e-a8337afcc6e3","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",30,1.70,
"f5268657-2b2e-459e-b368-055372f50c8e","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",21,1.60,
"175254fb-e336-4c84-a16c-3fc9b09aa714","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",23,3.35,
"b534516c-71f3-4c4b-ad18-4c0d87293bd0","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",15,1.92,
"520382a6-bb8e-4f72-8641-7f9a7f77e631","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",27,2.13,
"26816c44-4420-4497-8772-e729f437ef3a","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",9,3.19,
"e56ad70f-9d72-42d6-86c3-f9146902f9fd","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",25,2.16,
"cf6d8ee3-8dfe-4cd7-bebd-c445132eb26c","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",19,2.69,
"7c32ddce-8559-4984-a963-2685a708fd55","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",12,2.23,
"fdb61893-136f-41be-a722-1c52077ee624","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",5,1.49,
"d9c72f4b-d85b-489a-9b8a-80cfdc21b7c3","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",17,2.04,
"97fbb4c4-b221-4408-82b4-e995204b5412","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",6,1.99,
"b6e52838-9f8b-4aec-989f-24250f3a05da","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",24,1.88,
"f30dc84e-285a-40d7-b4a2-2fc907a4047f","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",14,1.85,
"72f1d49d-38c3-4a74-ba75-698e02e602a6","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",20,2.12,
"2e273bd5-3c8c-4784-aac4-7147b0929d91","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",1,2.75,
"7023ae7c-08ac-4a29-a5a9-358ab9a51804","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",13,1.89,
"8053cf8a-0922-4eeb-9390-55d17302fd56","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",7,1.42,
"7a37df00-0070-488b-9c6e-15cee422ed7d","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",29,1.22,
"89165787-111d-4308-b60d-074f3982db91","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",8,2.66,
"acde158b-13e3-4afc-b0bc-a247ea07c14b","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",10,2.89,
"c8c6a35f-e269-4953-b75c-053b38d754e6","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",2,1.30,
"b8eeeadc-ed70-43a3-9fd0-5ea68f39c317","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",22,2.60,
"f64bc8b8-f065-4d14-bd11-bc74b5685876","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",3,1.67,
"dbd54af1-a648-415a-8282-ede0cc793ea4","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",26,2.43,
"66a6f02e-cc97-4525-9787-20fef9938b24","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",28,1.44,
"1d885377-4c7e-4bff-8b1b-871d632be0fc","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",16,1.82,
"d99485c4-89e9-4813-bca7-9c2cb4789aee","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",11,1.92,
"fcad2161-f01e-40ad-a720-fe50df3577a4","D13","WLOU","WLOU","2022-08-10T16:26Z","Tape",18,2.20,
